sample_name,Chao1,Shannon,FaithPD,sample_or_control,date_extracted,quant_reading,date_PCR,avg_sperm_length,aggression_assay,sex,species,date_behavioral_assayed,time_behavioral_assay,date_collected,time_collected,site,locality,mount_ID,vocal_ID,dissector _initials,assayed?,type_of_collect,weather,breeding_notes,breeding_stage,number_of_lures,time_assay_start,time_responded_to_playback,time_shot,time_in_hand,time_euthanized,facial_ornament,testis1_length,testis1_width,testis1_mass_oz,testis2_length,testis2_width,testis2_mass_oz,avg_testes_length,avg_testes_width,avg_testes_mass,gonad_mass,avg_testes_vol,ovary_mass,follicle1_length,follicle1_width,follicle2_length,follicle2_width,nest_photo,body_mass,facial_shield_length,facial_shield_width,facial_shield_index,wattle_length,wattle_width,wattle_index,dorsal_index,bill_length,bill_width,bill_depth,tarsus_length,wing_length,left_spur,right_spur,avg_spur,testosterone,log_testosterone,ln_testosterone,distance,hover_flights,wing_spread,flyovers,vocalizations,threats,pecks,comp.1,comp.2,comp.3,Issues?,Notes 1,Notes 2
NOF1,130,2.593224517,13.6745328,true_sample,12-Jun-23,9.38,18-Jun-23,,1,female,J. spinosa,4-Jun-18,,11-Jun-18,6:09 PM,La Barqueta,Gate near bulldozer,191,La Gamba,SEL,Yes,Delayed,light rain/overcast,Copulating,Courtship,,,,6:09,6:10,6:11,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,NA,0.035,8.5,8.5,5.4,5.9,NA,164.1,26.8,25,1,NA,NA,1,1,21.1,4.3,6.4,59.6,133,15.5,15,15.25,0.4159375,-0.380971923,-0.87722027,7.566666667,0,0.066666667,0,0,0,0,0.732278993,0.866954155,-0.70509798,,F oviduct enlarged,Mass taken after tissues out
NOF10,152.0909091,3.329907206,15.36579795,true_sample,12-Jun-23,20,18-Jun-23,,25,female,J. spinosa,23-Jun-18,13:47,7-Jul-18,11:41,La Barqueta,palm cluster,194,La Gamba,SEL,Yes,Delayed,,Copulating,Courtship,,,,11:41,11:41,11:41,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095,NA,0.095,14.8,14.1,10.9,10.5,NA,166.7,28.4,24.5,1,0,0,1,1,19.2,4.4,6.2,63.8,130,14.8,15.2,15,0.4115625,-0.385564203,-0.887794387,19.5,0,0.033333333,0.066666667,0.233333333,0,0,0.203339829,0.21254065,1.403165518,"mislabeled L eye and RNA blood tube as ""NOM11"" but also took duplicates (more blood and R eye in new tubes) The real NOM11 is labeled as NOM11.0; spleen dropped on ice","Copulating prior to assay and collection, has 2 males skull hard",
NOF11,108.5,2.307079767,13.52664171,true_sample,12-Jun-23,14.8,18-Jun-23,,41,female,J. spinosa,9-Jul-18,10:46,9-Jul-18,10:53,La Barqueta,"field along dirt rd behind barn, along deep canal",195,La Gamba,SEL,Yes,Immediate,sunny,M has nest; F has enlarged oviduct,Courtship,1,10:46,10:53,10:53,10:53,10:54,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,0.04,,,,,Nest 12,147.8,30.1,26.3,1,0,0,1,1,19.3,5.2,6.4,62,127,14.6,13.8,14.2,0.125125,-0.90265591,-2.078442041,6.566666667,0.033333333,0.033333333,0.033333333,0.833333333,0,0,-1.07961312,1.499286869,-0.583233145,,"M has nest (placed mount next to), F has enlarged oviduct",
NOF12,80,3.149656139,9.350516267,true_sample,15-Jun-23,12.4,18-Jun-23,,42,female,J. spinosa,9-Jul-18,14:30,9-Jul-18,14:39,La Barqueta,bump box side of main Rd behind barn,194,Guarumal,SEL,Yes,Immediate,sunny,,Courtship,1,2:30,2:30,2:39,2:39,2:39,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.01,,,,,NA,163.7,29.9,25.2,1,0,0,1,1,20.2,5,6.3,60,137,16,16.1,16.05,0.50625,-0.295634964,-0.680724661,9.5,0,0,0.033333333,0.766666667,0,0,0.122631561,0.370550894,0.446865062,"nicked lower lobe, tiny chunk missing",F at 9.5 m entire assay,
NOF2,104,2.885721678,17.05581962,true_sample,12-Jun-23,12.7,18-Jun-23,,2,female,J. spinosa,4-Jun-18,,12-Jun-18,10:00 AM,La Barqueta,Pond near bridge by farm,191,La Barqueta,SEL,Yes,Delayed,,Copulating,Courtship,,,,10:00,10:01,10:01,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,NA,0.025,7.1,7.2,,,NA,161.2,30.1,25.4,1,0,0,1,1,20,4.5,6,59.5,134,14.2,13.9,14.05,0.3465625,-0.460218432,-1.059692101,20,0,0,0,0,0,0,1.64797856,-0.308189643,-0.028472401,,F may have more than one male mate; M and F copulating both on day of assay and day of collection ,
NOF3,136.0909091,1.800039299,14.68101835,true_sample,12-Jun-23,22.2,18-Jun-23,,6,female,J. spinosa,13-Jun-18,9:24,13-Jun-18,9:24,La Barqueta,Pond by barn under mango tree,195,Guarumal,SEL,Yes,Immediate,sunny,M has nest,Courtship,1,9:25,9:25,9:31,9:34,9:35,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,156.7,29,26.4,1,0,0,1,1,19.9,5,6.8,64.1,136,10.9,16.3,16.3,0.73475,-0.133860405,-0.308224974,20,0.133333333,0.066666667,0.033333333,0.833333333,0,0,-0.798741224,-0.641528524,-0.440440818,some esophagus contents went into blood,Took R eye instead of L; plasma very dark red like blood; collected w mate NOM3,
NOF4,91.75,3.115739459,9.859837489,true_sample,12-Jun-23,19.1,18-Jun-23,,9,female,J. spinosa,14-Jun-18,10:12,14-Jun-18,10:12 AM,La Barqueta,"pond near barn, corner of field with excavator",209,Colorado,"SEL brain, EJB body",Yes,Immediate,sunny,Copulating,Courtship,1,10:14,10:15,10:23,10:25,10:26,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,NA,0.015,,,,,NA,153.4,27.7,25.5,1,0,0,1,1,18.8,4.8,6.7,62.2,129,15.5,14.2,14.85,0.222125,-0.653402559,-1.504514993,20,0,0.066666667,0.033333333,0.2,0,0,0.759430133,-0.091617351,0.725122902,Evan is soft on recording for behavior,"F is outside 8 most of time, Evan soft on recordings",
NOF6,78,3.026437758,8.457158703,true_sample,12-Jun-23,19.2,18-Jun-23,,23,female,J. spinosa,22-Jun-18,16:09,22-Jun-18,16:11,La Barqueta,"Road towards barn, small pond",195,Colorado,SEL,Yes,Immediate,sunny w/ some clouds,Laying,Courtship,,4:09,4:09,4:11,4:11,4:11,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,0.04,,,,,Nest 4,156.5,20.5,25.6,1,0,0,1,1,19.9,4.8,6.7,59.5,130,13.9,14,13.95,NA,NA,NA,20,0,0.033333333,0,0.2,0,0,1.338603631,-0.227029985,-0.066147557,plasma contaminated with yolk,"Laid 3 eggs, 1 still inside, maybe contaminated plasma; same territory and likely mate of Assay 3; super aggressive; not totally sure of spleen; laid nest in same spot for previous and new male mate",
NOF7,77,2.976410523,6.964251325,true_sample,12-Jun-23,12.8,18-Jun-23,,19,female,J. spinosa,21-Jun-18,,28-Jun-18,10:35,La Barqueta,Field behind barn with garden,209,La Barqueta,SEL,Yes,Delayed,,Copulating,Courtship,,,,10:35,10:36,10:36,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.01,,,,,NA,149.4,9,27.9,1,0,0,1,1,19.3,4.6,6.3,63.9,128,13.3,12.9,13.1,0.08359375,-1.077826192,-2.481786522,20,0,0,0,0.066666667,0,0,1.561389013,-0.265121535,-0.05285917,,"Copulating, molting out of juvenile plumage (some white feathers)",
NOF8,141.1428571,2.951737264,16.15241025,true_sample,12-Jun-23,3.44,18-Jun-23,,24,female,J. spinosa,23-Jun-18,,28-Jun-18,13:07,La Barqueta,Pond behind barn w/mango tree,209,La Barqueta,SEL,Yes,Delayed,,Copulating,Courtship,,,,1:17,1:18,1:18,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055,NA,0.055,,,,,NA,154.6,27.5,24.5,1,0,0,1,1,19.4,4.6,6.5,59.8,131,16.1,14.4,15.25,0.8388125,-0.076335106,-0.175768078,19.5,0,0.033333333,0.033333333,0.266666667,0,0,0.689612278,0.050617398,0.635186803,,Copulating prior to assay and collection; skull hard,
