ASVID,Taxon
c034264008eab9f8542c0ae33020c616,d__Bacteria; p__Firmicutes; c__Bacilli
b4f65f8a4260c4fc3f8f94ad30657638,d__Bacteria; p__Firmicutes; c__Bacilli
c8986471256b5fce62f62e7dd4b16421,d__Bacteria; p__Firmicutes; c__Bacilli
b7e972b9cc8771b9124c2d33ba51896d,d__Bacteria; p__Firmicutes; c__Bacilli
7064d0196bfd40571973b6e8c026d1a1,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
1b2bf8229bce8ae2637a4f4271036d55,d__Bacteria; p__Firmicutes; c__Bacilli
bd66538d0427cd3b236f32d3b610a1d0,d__Bacteria; p__Firmicutes; c__Bacilli
3f57eea69be090f5274a1dd23056ed42,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Marinococcaceae; g__Marinococcus
ea3d6a1c7dabd131d6936c41a93ddc3c,d__Bacteria; p__Firmicutes; c__Bacilli
bbac69a265b65ef824eeaa0ad61b0ac5,d__Bacteria; p__Firmicutes; c__Bacilli
a59dc687c36f7137332ddd83d6d5ed08,d__Bacteria; p__Firmicutes; c__Bacilli
db1755439c5e6ecd8bc5c9a9115393c0,d__Bacteria; p__Firmicutes; c__Bacilli
f5f5e0da89730462abaf6301a9557193,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
c6067ac96f0e373da498fe993e8935db,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
5e670bd9154e045bf5e6c60b983e3e56,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
85a8ff4e8267be7ee22683a4853bb5e7,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
d9866a29cd6f8becd8f53f5c364def30,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
25d8e333b0f99aa18ee0635ffdd8224a,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
75e107cb53fea44fdd05057fef2c85e3,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
88a5545caac2a85b1036ef7f146acedf,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
b91d1929693ddfffdb7a6dbd0b40a3d8,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
9ed0826922275345a062ce6a41adafba,d__Bacteria; p__Firmicutes; c__Bacilli
dbac35c5ce52fc308022bdef34bb7d1a,d__Bacteria; p__Firmicutes; c__Bacilli
1d62ff6a83f51cbf83bdd773cc91069d,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
8f75a9808389f6b4caa9a821ed9040f4,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus_gallinarum
d797ce69769c0ab625d3d0456b833ff3,Unassigned
d80196452d9c5f80cc30818087778199,Unassigned
fa6c0be817ef2536a174d63c93eb0b64,d__Archaea; p__Halobacterota; c__Halobacteria; o__Halobacterales
235ae59ce17760c3e3df5b60ee04b2ae,d__Archaea; p__Halobacterota; c__Halobacteria; o__Halobacterales
4501ab7b50a98c94186f24f4de90bf0e,d__Archaea; p__Halobacterota; c__Halobacteria; o__Halobacterales
c2dc087defe6b30eff92a4714731df38,d__Archaea; p__Halobacterota; c__Halobacteria; o__Halobacterales; f__Halococcaceae; g__Halococcus; s__Halococcus_thailandensis
f16182f0bb4cf86cdf89eefda9fe0b64,d__Archaea; p__Halobacterota; c__Halobacteria; o__Halobacterales
c6db214ed09e937552f5aef16446c7b2,d__Archaea; p__Halobacterota; c__Halobacteria; o__Halobacterales; f__Halococcaceae; g__Halococcus; s__Halococcus_thailandensis
c72092db471e4fdabb750de0c4920dc4,Unassigned
6b45bde34366e619c1f48fde8ef5ded7,Unassigned
b788f20b6a06f145a05fe80dbc9f5b8e,Unassigned
3f6ff2a8719db8661ca70b93a8b831bb,d__Bacteria; p__Firmicutes; c__Bacilli
889a77a0800a56d932157beb26a3ff70,d__Bacteria; p__Firmicutes; c__Bacilli
051fe2e30bc5a9737ffa5cd363754a44,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus_sp.
09d79c425b829a662431a2d53827f4ea,d__Bacteria; p__Firmicutes; c__Bacilli
1975f0f2b6531e29f1c84e99f1b51ef8,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus_gallinarum
cfe92b127242126f81cc1d8a495d8bef,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus_gallinarum
592f576da762f1330dd5817c418aa566,d__Bacteria; p__Firmicutes; c__Bacilli
25de454ba89fb74f4c7468cc7f6a0cf4,d__Bacteria; p__Firmicutes; c__Bacilli
5fbbcb6cd3ef45a43c474aee7959e0b1,d__Bacteria; p__Firmicutes; c__Bacilli
f6035fe72dbc0d8f69f28d987d6a711a,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Marinococcaceae; g__Marinococcus
36506e4dfcb0b999bc237de764f0ff95,d__Bacteria; p__Firmicutes; c__Bacilli
e123c7d23859a7b083b12f79898d7261,d__Bacteria; p__Firmicutes; c__Bacilli
cd567b52a0af8d0e632efbf150c95d44,d__Bacteria; p__Firmicutes; c__Bacilli
